Abbreviation,TeamName,GridPosition,Position,Points,Year,Circuit,RaceName,QualiDeltaToPole,QualiDeltaToTeammate,QualiBestTimeSec,TeamMomentum
GAS,AlphaTauri,7.0,18.0,0.0,2022,Miami,Miami Grand Prix,0.894,-0.242,89.69,1.3333333333333335
TSU,AlphaTauri,13.0,10.0,1.0,2022,Barcelona,Spanish Grand Prix,1.889,-0.08,80.639,-2.6666666666666665
GAS,AlphaTauri,14.0,13.0,0.0,2022,Barcelona,Spanish Grand Prix,1.969,0.08,80.719,-1.6666666666666667
GAS,AlphaTauri,17.0,11.0,0.0,2022,Monaco,Monaco Grand Prix,2.284,0.863,73.66,-1.6666666666666667
TSU,AlphaTauri,11.0,17.0,0.0,2022,Monaco,Monaco Grand Prix,1.421,-0.863,72.797,0.3333333333333333
GAS,AlphaTauri,6.0,5.0,10.0,2022,Baku,Azerbaijan Grand Prix,1.486,-0.211,102.845,-0.3333333333333333
TSU,AlphaTauri,8.0,13.0,0.0,2022,Baku,Azerbaijan Grand Prix,1.697,0.211,103.056,3.0
GAS,AlphaTauri,15.0,14.0,0.0,2022,Montréal,Canadian Grand Prix,13.193,-2.083,94.492,3.0
TSU,AlphaTauri,20.0,18.0,0.0,2022,Montréal,Canadian Grand Prix,15.276,2.083,96.575,3.3333333333333335
TSU,AlphaTauri,13.0,14.0,0.0,2022,Silverstone,British Grand Prix,2.764,0.213,101.893,-3.3333333333333335
GAS,AlphaTauri,11.0,16.0,0.0,2022,Silverstone,British Grand Prix,2.551,-0.213,101.68,-3.3333333333333335
GAS,AlphaTauri,14.0,15.0,0.0,2022,Spielberg,Austrian Grand Prix,1.176,-0.303,66.16,-3.3333333333333335
TSU,AlphaTauri,16.0,16.0,0.0,2022,Spielberg,Austrian Grand Prix,1.479,0.303,66.463,0.0
GAS,AlphaTauri,14.0,12.0,0.0,2022,Le Castellet,French Grand Prix,2.567,0.659,93.439,0.0
TSU,AlphaTauri,8.0,20.0,0.0,2022,Le Castellet,French Grand Prix,1.908,-0.659,92.78,0.0
GAS,AlphaTauri,0.0,12.0,0.0,2022,Budapest,Hungarian Grand Prix,1.739,-0.124,79.116,0.0
TSU,AlphaTauri,16.0,19.0,0.0,2022,Budapest,Hungarian Grand Prix,1.863,0.124,79.24,0.0
GAS,AlphaTauri,0.0,9.0,2.0,2022,Spa-Francorchamps,Belgian Grand Prix,2.162,-0.865,105.827,0.0
TSU,AlphaTauri,0.0,13.0,0.0,2022,Spa-Francorchamps,Belgian Grand Prix,3.027,0.865,106.692,0.6666666666666666
GAS,AlphaTauri,11.0,11.0,0.0,2022,Zandvoort,Dutch Grand Prix,1.17,0.085,71.512,0.6666666666666666
TSU,AlphaTauri,9.0,20.0,0.0,2022,Zandvoort,Dutch Grand Prix,1.085,-0.085,71.427,0.6666666666666666
GAS,AlphaTauri,5.0,8.0,4.0,2022,Monza,Italian Grand Prix,1.749,-0.11,81.91,-0.6666666666666666
TSU,AlphaTauri,20.0,14.0,0.0,2022,Monza,Italian Grand Prix,1.859,0.11,82.02,0.6666666666666666
GAS,AlphaTauri,7.0,10.0,1.0,2022,Marina Bay,Singapore Grand Prix,1.799,-0.772,111.211,0.6666666666666666
TSU,AlphaTauri,10.0,15.0,0.0,2022,Marina Bay,Singapore Grand Prix,2.571,0.772,111.983,1.6666666666666667
TSU,AlphaTauri,13.0,13.0,0.0,2022,Suzuka,Japanese Grand Prix,1.504,-0.514,90.808,-1.0
GAS,AlphaTauri,17.0,18.0,0.0,2022,Suzuka,Japanese Grand Prix,2.018,0.514,91.322,-1.0
TSU,AlphaTauri,19.0,10.0,1.0,2022,Austin,United States Grand Prix,2.083,-0.138,96.439,-1.6666666666666667
GAS,AlphaTauri,11.0,14.0,0.0,2022,Austin,United States Grand Prix,2.221,0.138,96.577,0.0
GAS,AlphaTauri,14.0,11.0,0.0,2022,Mexico City,Mexico City Grand Prix,1.897,0.083,79.672,0.0
TSU,AlphaTauri,13.0,20.0,0.0,2022,Mexico City,Mexico City Grand Prix,1.814,-0.083,79.589,0.3333333333333333
GAS,AlphaTauri,10.0,14.0,0.0,2022,São Paulo,São Paulo Grand Prix,0.794,-4.589,71.675,-0.3333333333333333
TSU,AlphaTauri,0.0,17.0,0.0,2022,São Paulo,São Paulo Grand Prix,5.383,4.589,76.264,-0.3333333333333333
TSU,AlphaTauri,11.0,11.0,0.0,2022,Yas Island,Abu Dhabi Grand Prix,1.395,-0.64,85.219,-0.3333333333333333
GAS,AlphaTauri,17.0,14.0,0.0,2022,Yas Island,Abu Dhabi Grand Prix,2.035,0.64,85.859,0.0
OCO,Alpine,11.0,7.0,6.0,2022,Sakhir,Bahrain Grand Prix,1.224,0.161,91.782,-10.333333333333334
ALO,Alpine,8.0,9.0,2.0,2022,Sakhir,Bahrain Grand Prix,1.063,-0.161,91.621,-3.333333333333333
OCO,Alpine,5.0,6.0,8.0,2022,Jeddah,Saudi Arabian Grand Prix,15.398,-0.079,89.068,-1.9999999999999996
ALO,Alpine,7.0,16.0,0.0,2022,Jeddah,Saudi Arabian Grand Prix,15.477,0.079,89.147,3.333333333333333
OCO,Alpine,8.0,7.0,6.0,2022,Melbourne,Australian Grand Prix,1.193,0.246,79.061,-0.6666666666666665
ALO,Alpine,10.0,17.0,0.0,2022,Melbourne,Australian Grand Prix,0.947,-0.246,78.815,1.3333333333333335
OCO,Alpine,16.0,14.0,0.0,2022,Imola,Emilia Romagna Grand Prix,3.66,2.743,82.338,-3.333333333333333
ALO,Alpine,9.0,19.0,0.0,2022,Imola,Emilia Romagna Grand Prix,0.917,-2.743,79.595,-1.3333333333333335
OCO,Alpine,20.0,8.0,4.0,2022,Miami,Miami Grand Prix,2.0,0.0,82.3725,-4.666666666666667
ALO,Alpine,11.0,11.0,0.0,2022,Miami,Miami Grand Prix,1.364,0.0,90.16,-0.6666666666666667
OCO,Alpine,12.0,7.0,6.0,2022,Barcelona,Spanish Grand Prix,1.888,-0.405,80.638,-0.6666666666666667
ALO,Alpine,20.0,9.0,2.0,2022,Barcelona,Spanish Grand Prix,2.293,0.405,81.043,3.3333333333333335
ALO,Alpine,7.0,7.0,6.0,2022,Monaco,Monaco Grand Prix,0.871,-0.281,72.247,1.3333333333333333
OCO,Alpine,10.0,12.0,0.0,2022,Monaco,Monaco Grand Prix,1.152,0.281,72.528,3.333333333333334
ALO,Alpine,10.0,7.0,6.0,2022,Baku,Azerbaijan Grand Prix,1.814,-0.412,103.173,-0.666666666666667
OCO,Alpine,13.0,10.0,1.0,2022,Baku,Azerbaijan Grand Prix,2.226,0.412,103.585,1.3333333333333335
OCO,Alpine,7.0,6.0,8.0,2022,Montréal,Canadian Grand Prix,2.23,1.585,83.529,-2.3333333333333335
ALO,Alpine,2.0,9.0,2.0,2022,Montréal,Canadian Grand Prix,0.645,-1.585,81.944,2.3333333333333335
ALO,Alpine,7.0,5.0,10.0,2022,Silverstone,British Grand Prix,2.469,-0.132,101.598,-0.3333333333333335
OCO,Alpine,15.0,15.0,0.0,2022,Silverstone,British Grand Prix,2.601,0.132,101.73,4.333333333333334
OCO,Alpine,6.0,5.0,10.0,2022,Spielberg,Austrian Grand Prix,0.742,-0.29,65.726,-1.0
ALO,Alpine,19.0,10.0,1.0,2022,Spielberg,Austrian Grand Prix,1.032,0.29,66.016,3.0000000000000004
ALO,Alpine,7.0,6.0,8.0,2022,Le Castellet,French Grand Prix,1.68,-0.496,92.552,-3.0000000000000004
OCO,Alpine,10.0,8.0,4.0,2022,Le Castellet,French Grand Prix,2.176,0.496,93.048,2.333333333333333
ALO,Alpine,6.0,8.0,4.0,2022,Budapest,Hungarian Grand Prix,0.527,-0.114,77.904,-2.333333333333334
OCO,Alpine,5.0,9.0,2.0,2022,Budapest,Hungarian Grand Prix,0.641,0.114,78.018,1.6666666666666665
ALO,Alpine,3.0,5.0,10.0,2022,Spa-Francorchamps,Belgian Grand Prix,1.703,0.188,105.368,-2.9999999999999996
OCO,Alpine,16.0,7.0,6.0,2022,Spa-Francorchamps,Belgian Grand Prix,1.515,-0.188,105.18,1.0
ALO,Alpine,13.0,6.0,8.0,2022,Zandvoort,Dutch Grand Prix,1.271,0.008,71.613,0.666666666666667
OCO,Alpine,12.0,9.0,2.0,2022,Zandvoort,Dutch Grand Prix,1.263,-0.008,71.605,4.666666666666666
OCO,Alpine,14.0,11.0,0.0,2022,Monza,Italian Grand Prix,1.969,0.301,82.13,0.0
ALO,Alpine,6.0,19.0,0.0,2022,Monza,Italian Grand Prix,1.668,-0.301,81.829,-2.6666666666666665
OCO,Alpine,17.0,16.0,0.0,2022,Marina Bay,Singapore Grand Prix,6.925,6.371,116.337,-7.333333333333333
ALO,Alpine,5.0,18.0,0.0,2022,Marina Bay,Singapore Grand Prix,0.554,-6.371,109.966,-5.333333333333333
OCO,Alpine,5.0,4.0,12.0,2022,Suzuka,Japanese Grand Prix,0.861,-0.157,90.165,-3.3333333333333335
ALO,Alpine,7.0,7.0,6.0,2022,Suzuka,Japanese Grand Prix,1.018,0.157,90.322,3.3333333333333335
ALO,Alpine,14.0,7.0,6.0,2022,Austin,United States Grand Prix,1.52,-1.192,95.876,6.0
OCO,Alpine,0.0,11.0,0.0,2022,Austin,United States Grand Prix,2.712,1.192,97.068,8.0
OCO,Alpine,10.0,8.0,4.0,2022,Mexico City,Mexico City Grand Prix,1.235,0.071,79.01,0.0
ALO,Alpine,9.0,19.0,0.0,2022,Mexico City,Mexico City Grand Prix,1.164,-0.071,78.939,-2.6666666666666665
ALO,Alpine,17.0,5.0,10.0,2022,São Paulo,São Paulo Grand Prix,0.513,-0.193,71.394,-6.666666666666667
OCO,Alpine,16.0,8.0,4.0,2022,São Paulo,São Paulo Grand Prix,0.706,0.193,71.587,0.666666666666667
OCO,Alpine,8.0,7.0,6.0,2022,Yas Island,Abu Dhabi Grand Prix,1.006,-0.266,84.83,1.3333333333333335
ALO,Alpine,10.0,20.0,0.0,2022,Yas Island,Abu Dhabi Grand Prix,1.272,0.266,85.096,5.333333333333334
STR,Aston Martin,19.0,12.0,0.0,2022,Sakhir,Bahrain Grand Prix,2.474,0.255,93.032,-3.0
HUL,Aston Martin,17.0,17.0,0.0,2022,Sakhir,Bahrain Grand Prix,2.219,-0.255,92.777,-0.3333333333333333
HUL,Aston Martin,17.0,12.0,0.0,2022,Jeddah,Saudi Arabian Grand Prix,16.873,0.287,90.543,0.0
STR,Aston Martin,13.0,13.0,0.0,2022,Jeddah,Saudi Arabian Grand Prix,16.586,-0.287,90.256,0.0
STR,Aston Martin,19.0,12.0,0.0,2022,Melbourne,Australian Grand Prix,28.965,25.684,106.833,0.0
VET,Aston Martin,17.0,19.0,0.0,2022,Melbourne,Australian Grand Prix,3.281,-25.684,81.149,0.0
VET,Aston Martin,13.0,8.0,4.0,2022,Imola,Emilia Romagna Grand Prix,1.279,-0.385,79.957,0.0
STR,Aston Martin,15.0,10.0,1.0,2022,Imola,Emilia Romagna Grand Prix,1.664,0.385,80.342,1.3333333333333333
STR,Aston Martin,0.0,10.0,1.0,2022,Miami,Miami Grand Prix,1.2,-0.218,89.996,1.6666666666666667
VET,Aston Martin,0.0,17.0,0.0,2022,Miami,Miami Grand Prix,1.418,0.218,90.214,2.0
VET,Aston Martin,16.0,11.0,0.0,2022,Barcelona,Spanish Grand Prix,2.204,-0.464,80.954,-0.6666666666666666
STR,Aston Martin,17.0,15.0,0.0,2022,Barcelona,Spanish Grand Prix,2.668,0.464,81.418,-1.3333333333333335
VET,Aston Martin,9.0,10.0,1.0,2022,Monaco,Monaco Grand Prix,1.237,-1.065,72.613,-2.0
STR,Aston Martin,18.0,14.0,0.0,2022,Monaco,Monaco Grand Prix,2.302,1.065,73.678,-0.3333333333333333
VET,Aston Martin,9.0,6.0,8.0,2022,Baku,Azerbaijan Grand Prix,1.732,-2.28,103.091,0.0
STR,Aston Martin,19.0,16.0,0.0,2022,Baku,Azerbaijan Grand Prix,4.012,2.28,105.371,3.0
STR,Aston Martin,17.0,10.0,1.0,2022,Montréal,Canadian Grand Prix,14.233,1.02,95.532,2.333333333333333
VET,Aston Martin,16.0,12.0,0.0,2022,Montréal,Canadian Grand Prix,13.213,-1.02,94.512,2.6666666666666665
VET,Aston Martin,18.0,9.0,2.0,2022,Silverstone,British Grand Prix,3.537,-0.764,102.666,-2.6666666666666665
STR,Aston Martin,20.0,11.0,0.0,2022,Silverstone,British Grand Prix,4.301,0.764,103.43,-1.6666666666666665
STR,Aston Martin,12.0,13.0,0.0,2022,Spielberg,Austrian Grand Prix,1.863,0.195,66.847,-2.3333333333333335
VET,Aston Martin,18.0,17.0,0.0,2022,Spielberg,Austrian Grand Prix,1.668,-0.195,66.652,0.3333333333333333
STR,Aston Martin,15.0,10.0,1.0,2022,Le Castellet,French Grand Prix,2.567,0.163,93.439,-1.0
VET,Aston Martin,12.0,11.0,0.0,2022,Le Castellet,French Grand Prix,2.404,-0.163,93.276,-0.3333333333333333
VET,Aston Martin,18.0,10.0,1.0,2022,Budapest,Hungarian Grand Prix,1.896,0.136,79.273,-0.3333333333333333
STR,Aston Martin,14.0,11.0,0.0,2022,Budapest,Hungarian Grand Prix,1.76,-0.136,79.137,0.6666666666666666
VET,Aston Martin,10.0,8.0,4.0,2022,Spa-Francorchamps,Belgian Grand Prix,2.679,0.088,106.344,0.0
STR,Aston Martin,9.0,11.0,0.0,2022,Spa-Francorchamps,Belgian Grand Prix,2.591,-0.088,106.256,1.3333333333333335
STR,Aston Martin,10.0,10.0,1.0,2022,Zandvoort,Dutch Grand Prix,1.074,-0.975,71.416,0.6666666666666666
VET,Aston Martin,19.0,14.0,0.0,2022,Zandvoort,Dutch Grand Prix,2.049,0.975,72.391,1.3333333333333335
STR,Aston Martin,12.0,18.0,0.0,2022,Monza,Italian Grand Prix,2.587,0.112,82.748,-1.3333333333333335
VET,Aston Martin,11.0,20.0,0.0,2022,Monza,Italian Grand Prix,2.475,-0.112,82.636,-1.0
STR,Aston Martin,11.0,6.0,8.0,2022,Marina Bay,Singapore Grand Prix,4.799,-0.169,114.211,-1.6666666666666667
VET,Aston Martin,13.0,8.0,4.0,2022,Marina Bay,Singapore Grand Prix,4.968,0.169,114.38,2.333333333333333
VET,Aston Martin,9.0,6.0,8.0,2022,Suzuka,Japanese Grand Prix,1.25,-0.865,90.554,3.6666666666666665
STR,Aston Martin,19.0,12.0,0.0,2022,Suzuka,Japanese Grand Prix,2.115,0.865,91.419,6.666666666666667
VET,Aston Martin,10.0,8.0,4.0,2022,Austin,United States Grand Prix,2.042,0.8,96.398,1.3333333333333335
STR,Aston Martin,5.0,18.0,0.0,2022,Austin,United States Grand Prix,1.242,-0.8,95.598,0.0
VET,Aston Martin,16.0,14.0,0.0,2022,Mexico City,Mexico City Grand Prix,2.644,-0.101,80.419,-5.333333333333334
STR,Aston Martin,20.0,15.0,0.0,2022,Mexico City,Mexico City Grand Prix,2.745,0.101,80.52,-2.666666666666667
STR,Aston Martin,15.0,10.0,1.0,2022,São Paulo,São Paulo Grand Prix,1.329,0.532,72.21,-4.0
VET,Aston Martin,9.0,11.0,0.0,2022,São Paulo,São Paulo Grand Prix,0.797,-0.532,71.678,-1.0
STR,Aston Martin,14.0,8.0,4.0,2022,Yas Island,Abu Dhabi Grand Prix,1.535,0.398,85.359,-1.0
VET,Aston Martin,9.0,10.0,1.0,2022,Yas Island,Abu Dhabi Grand Prix,1.137,-0.398,84.961,1.6666666666666667
LEC,Ferrari,1.0,1.0,26.0,2022,Sakhir,Bahrain Grand Prix,0.0,-0.129,90.558,1.333333333333334
SAI,Ferrari,3.0,2.0,18.0,2022,Sakhir,Bahrain Grand Prix,0.129,0.129,90.687,9.333333333333332
LEC,Ferrari,2.0,2.0,19.0,2022,Jeddah,Saudi Arabian Grand Prix,14.555,14.555,88.225,6.666666666666666
SAI,Ferrari,3.0,3.0,15.0,2022,Jeddah,Saudi Arabian Grand Prix,0.0,-14.555,73.67,14.333333333333332
LEC,Ferrari,1.0,1.0,26.0,2022,Melbourne,Australian Grand Prix,0.0,-0.601,77.868,3.333333333333332
SAI,Ferrari,9.0,20.0,0.0,2022,Melbourne,Australian Grand Prix,0.601,0.601,78.469,5.0
LEC,Ferrari,2.0,6.0,8.0,2022,Imola,Emilia Romagna Grand Prix,0.118,0.118,78.796,-7.333333333333334
SAI,Ferrari,4.0,20.0,0.0,2022,Imola,Emilia Romagna Grand Prix,0.0,-0.118,78.678,-5.999999999999998
LEC,Ferrari,1.0,2.0,18.0,2022,Miami,Miami Grand Prix,0.0,-0.19,88.796,-17.333333333333332
SAI,Ferrari,2.0,3.0,15.0,2022,Miami,Miami Grand Prix,0.19,0.19,88.986,-5.0
SAI,Ferrari,3.0,4.0,12.0,2022,Barcelona,Spanish Grand Prix,0.416,0.416,79.166,-0.3333333333333339
LEC,Ferrari,1.0,20.0,0.0,2022,Barcelona,Spanish Grand Prix,0.0,-0.416,78.75,12.333333333333334
SAI,Ferrari,2.0,2.0,18.0,2022,Monaco,Monaco Grand Prix,0.225,0.225,71.601,0.3333333333333339
LEC,Ferrari,1.0,4.0,12.0,2022,Monaco,Monaco Grand Prix,0.0,-0.225,71.376,-1.0
LEC,Ferrari,1.0,19.0,0.0,2022,Baku,Azerbaijan Grand Prix,0.0,-0.455,101.359,-5.0
SAI,Ferrari,4.0,20.0,0.0,2022,Baku,Azerbaijan Grand Prix,0.455,0.455,101.814,1.0
SAI,Ferrari,3.0,2.0,19.0,2022,Montréal,Canadian Grand Prix,0.797,-10.912,82.096,-6.0
LEC,Ferrari,19.0,5.0,10.0,2022,Montréal,Canadian Grand Prix,11.709,10.912,93.008,-3.666666666666667
SAI,Ferrari,1.0,1.0,25.0,2022,Silverstone,British Grand Prix,1.061,0.344,100.19,-0.3333333333333339
LEC,Ferrari,3.0,4.0,12.0,2022,Silverstone,British Grand Prix,0.717,-0.344,99.846,14.0
LEC,Ferrari,2.0,1.0,25.0,2022,Spielberg,Austrian Grand Prix,0.029,-0.053,65.013,9.333333333333332
SAI,Ferrari,3.0,18.0,0.0,2022,Spielberg,Austrian Grand Prix,0.082,0.053,65.066,11.000000000000002
SAI,Ferrari,19.0,5.0,11.0,2022,Le Castellet,French Grand Prix,0.209,0.209,91.081,-5.666666666666666
LEC,Ferrari,1.0,19.0,0.0,2022,Le Castellet,French Grand Prix,0.0,-0.209,90.872,-3.666666666666666
SAI,Ferrari,2.0,4.0,12.0,2022,Budapest,Hungarian Grand Prix,0.044,-0.146,77.421,-17.0
LEC,Ferrari,3.0,6.0,8.0,2022,Budapest,Hungarian Grand Prix,0.19,0.146,77.567,-4.666666666666667
SAI,Ferrari,1.0,3.0,15.0,2022,Spa-Francorchamps,Belgian Grand Prix,0.632,-0.254,104.297,-5.333333333333333
LEC,Ferrari,15.0,6.0,8.0,2022,Spa-Francorchamps,Belgian Grand Prix,0.886,0.254,104.551,8.0
LEC,Ferrari,2.0,3.0,15.0,2022,Zandvoort,Dutch Grand Prix,0.021,-0.071,70.363,2.666666666666667
SAI,Ferrari,3.0,8.0,4.0,2022,Zandvoort,Dutch Grand Prix,0.092,0.071,70.434,5.999999999999999
LEC,Ferrari,1.0,2.0,18.0,2022,Monza,Italian Grand Prix,0.0,-0.268,80.161,-2.666666666666666
SAI,Ferrari,18.0,4.0,12.0,2022,Monza,Italian Grand Prix,0.268,0.268,80.429,2.0
LEC,Ferrari,1.0,2.0,18.0,2022,Marina Bay,Singapore Grand Prix,0.0,-0.171,109.412,-1.3333333333333321
SAI,Ferrari,4.0,3.0,15.0,2022,Marina Bay,Singapore Grand Prix,0.171,0.171,109.583,7.0
LEC,Ferrari,2.0,3.0,15.0,2022,Suzuka,Japanese Grand Prix,0.01,-0.047,89.314,2.666666666666666
SAI,Ferrari,3.0,19.0,0.0,2022,Suzuka,Japanese Grand Prix,0.057,0.047,89.361,4.666666666666666
LEC,Ferrari,12.0,3.0,15.0,2022,Austin,United States Grand Prix,0.065,0.065,94.421,-6.0
SAI,Ferrari,1.0,20.0,0.0,2022,Austin,United States Grand Prix,0.0,-0.065,94.356,-5.0
SAI,Ferrari,5.0,5.0,10.0,2022,Mexico City,Mexico City Grand Prix,0.576,-0.204,78.351,-11.0
LEC,Ferrari,7.0,6.0,8.0,2022,Mexico City,Mexico City Grand Prix,0.78,0.204,78.555,-1.666666666666666
SAI,Ferrari,7.0,3.0,15.0,2022,São Paulo,São Paulo Grand Prix,0.009,-0.06,70.89,-4.0
LEC,Ferrari,5.0,4.0,12.0,2022,São Paulo,São Paulo Grand Prix,0.069,0.06,70.95,6.0
LEC,Ferrari,3.0,2.0,18.0,2022,Yas Island,Abu Dhabi Grand Prix,0.268,-0.15,84.092,3.333333333333332
SAI,Ferrari,4.0,4.0,12.0,2022,Yas Island,Abu Dhabi Grand Prix,0.418,0.15,84.242,9.0
MAG,Haas F1 Team,7.0,5.0,10.0,2022,Sakhir,Bahrain Grand Prix,0.903,-0.537,91.461,0.0
MSC,Haas F1 Team,12.0,11.0,0.0,2022,Sakhir,Bahrain Grand Prix,1.44,0.537,91.998,3.3333333333333335
MAG,Haas F1 Team,10.0,9.0,2.0,2022,Jeddah,Saudi Arabian Grand Prix,15.876,-0.374,89.546,3.3333333333333335
MSC,Haas F1 Team,,,0.0,2022,Jeddah,Saudi Arabian Grand Prix,16.25,0.374,89.92,4.0
MSC,Haas F1 Team,15.0,13.0,0.0,2022,Melbourne,Australian Grand Prix,2.236,-0.15,80.104,-2.666666666666667
MAG,Haas F1 Team,16.0,14.0,0.0,2022,Melbourne,Australian Grand Prix,2.386,0.15,80.254,-2.666666666666667
MAG,Haas F1 Team,8.0,9.0,2.0,2022,Imola,Emilia Romagna Grand Prix,1.224,-0.52,79.902,-4.0
MSC,Haas F1 Team,10.0,17.0,0.0,2022,Imola,Emilia Romagna Grand Prix,1.744,0.52,80.422,0.0
MSC,Haas F1 Team,15.0,15.0,0.0,2022,Miami,Miami Grand Prix,1.627,-0.552,90.423,0.0
MAG,Haas F1 Team,16.0,16.0,0.0,2022,Miami,Miami Grand Prix,2.179,0.552,90.975,0.6666666666666666
MSC,Haas F1 Team,10.0,14.0,0.0,2022,Barcelona,Spanish Grand Prix,1.618,0.686,80.368,-0.6666666666666666
MAG,Haas F1 Team,8.0,17.0,0.0,2022,Barcelona,Spanish Grand Prix,0.932,-0.686,79.682,-0.6666666666666666
MSC,Haas F1 Team,15.0,19.0,0.0,2022,Monaco,Monaco Grand Prix,1.705,0.16,73.081,-0.6666666666666666
MAG,Haas F1 Team,13.0,20.0,0.0,2022,Monaco,Monaco Grand Prix,1.545,-0.16,72.921,0.0
MSC,Haas F1 Team,20.0,14.0,0.0,2022,Baku,Azerbaijan Grand Prix,4.416,1.132,105.775,0.0
MAG,Haas F1 Team,16.0,17.0,0.0,2022,Baku,Azerbaijan Grand Prix,3.284,-1.132,104.643,0.0
MAG,Haas F1 Team,5.0,17.0,0.0,2022,Montréal,Canadian Grand Prix,1.661,-0.396,82.96,0.0
MSC,Haas F1 Team,6.0,19.0,0.0,2022,Montréal,Canadian Grand Prix,2.057,0.396,83.356,0.0
MSC,Haas F1 Team,19.0,8.0,4.0,2022,Silverstone,British Grand Prix,3.579,0.549,102.708,0.0
MAG,Haas F1 Team,17.0,10.0,1.0,2022,Silverstone,British Grand Prix,3.03,-0.549,102.159,1.3333333333333333
MSC,Haas F1 Team,9.0,6.0,8.0,2022,Spielberg,Austrian Grand Prix,1.027,0.132,66.011,1.6666666666666667
MAG,Haas F1 Team,7.0,8.0,4.0,2022,Spielberg,Austrian Grand Prix,0.895,-0.132,65.879,4.333333333333333
MSC,Haas F1 Team,17.0,15.0,0.0,2022,Le Castellet,French Grand Prix,2.242,0.465,93.114,3.0
MAG,Haas F1 Team,20.0,18.0,0.0,2022,Le Castellet,French Grand Prix,1.777,-0.465,92.649,2.333333333333333
MSC,Haas F1 Team,15.0,14.0,0.0,2022,Budapest,Hungarian Grand Prix,1.787,0.339,79.164,-3.0
MAG,Haas F1 Team,13.0,16.0,0.0,2022,Budapest,Hungarian Grand Prix,1.448,-0.339,78.825,-4.333333333333333
MAG,Haas F1 Team,12.0,16.0,0.0,2022,Spa-Francorchamps,Belgian Grand Prix,2.892,0.215,106.557,-4.0
MSC,Haas F1 Team,19.0,17.0,0.0,2022,Spa-Francorchamps,Belgian Grand Prix,2.677,-0.215,106.342,-1.3333333333333333
MSC,Haas F1 Team,8.0,13.0,0.0,2022,Zandvoort,Dutch Grand Prix,1.078,-0.621,71.42,0.0
MAG,Haas F1 Team,18.0,15.0,0.0,2022,Zandvoort,Dutch Grand Prix,1.699,0.621,72.041,0.0
MSC,Haas F1 Team,17.0,12.0,0.0,2022,Monza,Italian Grand Prix,2.844,0.606,83.005,0.0
MAG,Haas F1 Team,16.0,16.0,0.0,2022,Monza,Italian Grand Prix,2.238,-0.606,82.399,0.0
MAG,Haas F1 Team,9.0,12.0,0.0,2022,Marina Bay,Singapore Grand Prix,2.161,-2.797,111.573,0.0
MSC,Haas F1 Team,12.0,13.0,0.0,2022,Marina Bay,Singapore Grand Prix,4.958,2.797,114.37,0.0
MAG,Haas F1 Team,18.0,14.0,0.0,2022,Suzuka,Japanese Grand Prix,2.048,0.2,91.352,0.0
MSC,Haas F1 Team,15.0,17.0,0.0,2022,Suzuka,Japanese Grand Prix,1.848,-0.2,91.152,0.0
MAG,Haas F1 Team,13.0,9.0,2.0,2022,Austin,United States Grand Prix,2.593,-0.162,96.949,0.0
MSC,Haas F1 Team,16.0,15.0,0.0,2022,Austin,United States Grand Prix,2.755,0.162,97.111,0.6666666666666666
MSC,Haas F1 Team,15.0,16.0,0.0,2022,Mexico City,Mexico City Grand Prix,1.92,-0.138,79.695,0.6666666666666666
MAG,Haas F1 Team,19.0,17.0,0.0,2022,Mexico City,Mexico City Grand Prix,2.058,0.138,79.833,0.6666666666666666
MSC,Haas F1 Team,12.0,13.0,0.0,2022,São Paulo,São Paulo Grand Prix,5.48,4.951,76.361,-0.6666666666666666
MAG,Haas F1 Team,8.0,19.0,0.0,2022,São Paulo,São Paulo Grand Prix,0.529,-4.951,71.41,-0.6666666666666666
MSC,Haas F1 Team,12.0,16.0,0.0,2022,Yas Island,Abu Dhabi Grand Prix,1.401,-0.609,85.225,-0.6666666666666666
MAG,Haas F1 Team,16.0,17.0,0.0,2022,Yas Island,Abu Dhabi Grand Prix,2.01,0.609,85.834,0.0
RIC,McLaren,18.0,14.0,0.0,2022,Sakhir,Bahrain Grand Prix,2.387,0.937,92.945,-1.6666666666666665
NOR,McLaren,13.0,15.0,0.0,2022,Sakhir,Bahrain Grand Prix,1.45,-0.937,92.008,-1.6666666666666665
NOR,McLaren,11.0,7.0,6.0,2022,Jeddah,Saudi Arabian Grand Prix,15.981,-0.122,89.651,-5.666666666666667
RIC,McLaren,14.0,17.0,0.0,2022,Jeddah,Saudi Arabian Grand Prix,16.103,0.122,89.773,-0.3333333333333335
NOR,McLaren,4.0,5.0,10.0,2022,Melbourne,Australian Grand Prix,0.835,-0.329,78.703,0.0
RIC,McLaren,7.0,6.0,8.0,2022,Melbourne,Australian Grand Prix,1.164,0.329,79.032,5.333333333333333
NOR,McLaren,5.0,3.0,15.0,2022,Imola,Emilia Romagna Grand Prix,0.616,-0.686,79.294,4.0
RIC,McLaren,6.0,18.0,0.0,2022,Imola,Emilia Romagna Grand Prix,1.302,0.686,79.98,9.0
RIC,McLaren,14.0,13.0,0.0,2022,Miami,Miami Grand Prix,1.514,0.676,90.31,2.333333333333334
NOR,McLaren,8.0,19.0,0.0,2022,Miami,Miami Grand Prix,0.838,-0.676,89.634,-1.0
NOR,McLaren,11.0,8.0,4.0,2022,Barcelona,Spanish Grand Prix,1.227,-0.31,79.977,-11.0
